character,pinyin,pinyin_plain,pinyin_initial,definition_en,lookup_category,frequency_tier,learning_band,frequency_rank,token,frequency_per_million,coverage_rate_pct,rank_3500,rank_7000,in_3500,in_7000,in_corpus,source
两,liǎng,liang,L,"two; both; some; a few; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)",Numbers & Measures,Top 300,HSK1 Core,104.0,3302466.0,1739.6758041122473,48.09184314325149,23.0,25.0,True,True,True,"3500, 7000, corpus"
力,lì,li,L,surname Li,General Reference,Top 300,HSK1 Core,105.0,3298612.0,1737.6455907659026,48.265607702328076,342.0,495.0,True,True,True,"3500, 7000, corpus"
气,qì,qi,Q,gas; air; smell; weather; to make angry; to annoy; to get angry; vital energy; qi,Actions,Top 300,HSK1 Core,106.0,3227369.0,1700.1161435854115,48.43561931668662,1696.0,2844.0,True,True,True,"3500, 7000, corpus"
从,cóng,cong,C,surname Cong,Question & Function,Top 300,HSK1 Core,107.0,3173776.0,1671.8843781804721,48.60280775450467,97.0,117.0,True,True,True,"3500, 7000, corpus"
用,yòng,yong,Y,to use; to make use of; to employ; (coverb) with; using; to need; to have to (usu. used in the negative or in questions); usefulness; utility; (bound form) expense; outlay; (courteous) to eat; to drink; (literary) hence; therefore,Actions,Top 300,HSK1 Core,108.0,3170468.0,1670.1417871712074,48.769821933221785,2050.0,3645.0,True,True,True,"3500, 7000, corpus"
长,zhǎng,zhang,Z,long; (bound form) length; (bound form) strong point; forte; (bound form) to be good at; (literary) surplus; spare (Taiwan pr. [zhang4]),Places & Movement,Top 300,HSK1 Core,109.0,3100060.0,1633.0522019897292,48.933127153420756,3263.0,6335.0,True,True,True,"3500, 7000, corpus"
动,dòng,dong,D,"(of sth) to move; to set in movement; to displace; to touch; to make use of; to stir (emotions); to alter; abbr. for 動詞|动词[dong4 ci2], verb",Places & Movement,Top 300,HSK1 Core,110.0,3073269.0,1618.939216581864,49.09502107507894,349.0,503.0,True,True,True,"3500, 7000, corpus"
间,jiān,jian,J,between; among; within a definite time or space; room; section of a room or lateral space between two pairs of pillars; classifier for rooms,Time,Top 300,HSK1 Core,111.0,3067939.0,1616.1314747198983,49.25663422255093,3271.0,6346.0,True,True,True,"3500, 7000, corpus"
国,guó,guo,G,surname Guo,Places & Movement,Top 300,HSK1 Core,112.0,3063867.0,1613.986423151057,49.418032864866035,624.0,984.0,True,True,True,"3500, 7000, corpus"
走,zǒu,zou,Z,"to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 撤走[che4 zou3]); to change (shape, form, meaning)",Places & Movement,Top 300,HSK1 Core,113.0,3020224.0,1590.9961270756785,49.577132477573606,3012.0,5683.0,True,True,True,"3500, 7000, corpus"
让,ràng,rang,R,"to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel sad etc); by (indicates the agent in a passive clause, like 被[bei4])",Question & Function,Top 300,HSK1 Core,114.0,2999423.0,1580.0385588822924,49.73513633346184,2880.0,5454.0,True,True,True,"3500, 7000, corpus"
被,bèi,bei,B,"quilt; to cover (with); (literary) to suffer (a misfortune); used to indicate passive voice (placed before the doer of the action like ""by"" in English passive-voice sentences, or, if the doer is not mentioned, before the verb); (since c. 2009) (sarcastic or jocular) used to indicate that the following word should be regarded as being in air quotes (as in 被旅遊|被旅游[bei4 lu : 3 you2] to ""go on a trip"")",Question & Function,Top 300,HSK1 Core,115.0,2998064.0,1579.3226637246166,49.8930685998343,2837.0,5350.0,True,True,True,"3500, 7000, corpus"
给,gěi,gei,G,to; for; for the benefit of; to give; to allow; to do sth (for sb); (grammatical equivalent of 被); (grammatical equivalent of 把); (sentence intensifier),Question & Function,Top 300,HSK1 Core,116.0,2939384.0,1548.4111642011376,50.047909716254416,2416.0,4390.0,True,True,True,"3500, 7000, corpus"
正,zhèng,zheng,Z,first month of the lunar year,Time,Top 300,HSK1 Core,117.0,2933903.0,1545.5238784327635,50.20246210409769,1663.0,2781.0,True,True,True,"3500, 7000, corpus"
问,wèn,wen,W,to ask; to inquire,Actions,Top 300,HSK1 Core,118.0,2899681.0,1527.4963846240976,50.3552117425601,3267.0,6340.0,True,True,True,"3500, 7000, corpus"
打,dǎ,da,D,(loanword) dozen; Taiwan pr. [da3],Actions,Top 300,HSK1 Core,119.0,2882337.0,1518.3598977847107,50.50704773233857,1181.0,1993.0,True,True,True,"3500, 7000, corpus"
明,míng,ming,M,"Ming Dynasty (1368–1644); surname Ming; Ming (c. 2000 BC), fourth of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God",Time,Top 300,HSK1 Core,120.0,2864492.0,1508.9594937459158,50.657943681713164,1439.0,2370.0,True,True,True,"3500, 7000, corpus"
儿,ér,er,E,child; son,People & Pronouns,Top 300,HSK1 Core,121.0,2850098.0,1501.3770103760971,50.80808138275077,222.0,338.0,True,True,True,"3500, 7000, corpus"
法,fǎ,fa,F,France; French; abbr. for 法國|法国[Fa3 guo2]; Taiwan pr. [Fa4],General Reference,Top 300,HSK1 Core,122.0,2798486.0,1474.1887978095356,50.95550026253172,1746.0,2946.0,True,True,True,"3500, 7000, corpus"
才,cái,cai,C,ability; talent; sb of a certain type; a capable individual; then and only then; just now; (before an expression of quantity) only,Time,Top 300,HSK1 Core,123.0,2774963.0,1461.7973321774498,51.101679995749464,1177.0,1989.0,True,True,True,"3500, 7000, corpus"
几,jǐ,ji,J,small table,General Reference,Top 300,HSK1 Core,124.0,2760667.0,1454.2664733296708,51.24710664308243,284.0,414.0,True,True,True,"3500, 7000, corpus"
行,xíng,xing,X,"(bound form) row; line; (bound form) line of business; trade; profession; (bound form) commercial firm; (bound form) to rank (first, second etc) among one's siblings (by age); (in data tables) row; (Tw) column; classifier for rows or lines",Business & Work,Top 300,HSK1 Core,125.0,2756706.0,1452.1798944337525,51.392324632525806,2816.0,5315.0,True,True,True,"3500, 7000, corpus"
三,sān,san,S,surname San,Numbers & Measures,Top 300,HSK1 Core,126.0,2747794.0,1447.4852236131449,51.53707315488712,6.0,6.0,True,True,True,"3500, 7000, corpus"
定,dìng,ding,D,to fix; to set; to make definite; to subscribe to (a newspaper etc); to book (tickets etc); to order (goods etc); to congeal; to coagulate; (literary) definitely,Places & Movement,Top 300,HSK1 Core,127.0,2738825.0,1442.7605262848203,51.6813492075156,822.0,1368.0,True,True,True,"3500, 7000, corpus"
此,cǐ,ci,C,this; these,General Reference,Top 300,HSK1 Core,128.0,2725965.0,1435.986124719177,51.82494781998752,1664.0,2782.0,True,True,True,"3500, 7000, corpus"
进,jìn,jin,J,to go forward; to advance; to go in; to enter; to put in; to submit; to take in; to admit; (math.) base of a number system; classifier for sections in a building or residential compound,Places & Movement,Top 300,HSK1 Core,129.0,2706350.0,1425.6533185986411,51.967513151847385,3109.0,5883.0,True,True,True,"3500, 7000, corpus"
再,zài,zai,Z,"again; once more; re-; further; beyond this point of time; (before an adjective) more; then (after sth, and not until then); no matter how ... (followed by an adjective or verb, and then (usually) 也[ye3] or 都[dou1] for emphasis); (used to introduce additional information, as in 再則|再则[zai4 ze2], 再就是[zai4 jiu4 shi4] etc); (literary) to reappear; to reoccur",Time,Top 300,HSK1 Core,130.0,2681503.0,1412.5643951381796,52.1087695913612,257.0,380.0,True,True,True,"3500, 7000, corpus"
种,zhǒng,zhong,Z,"seed; species; kind; type; classifier for types, kinds, sorts",Actions,Top 300,HSK1 Core,131.0,2653924.0,1398.0363064306466,52.24857322200427,2246.0,4073.0,True,True,True,"3500, 7000, corpus"
将,jiāng,jiang,J,"will; shall; to use; to take; to checkmate; just a short while ago; (introduces object of main verb, used in the same way as 把[ba3])",Places & Movement,Top 300,HSK1 Core,132.0,2629219.0,1385.0221858490588,52.38707544058917,865.0,1419.0,True,True,True,"3500, 7000, corpus"
实,shí,shi,S,real; true; honest; really; solid; fruit; seed; definitely,Actions,Top 300,HSK1 Core,133.0,2616492.0,1378.3178461347557,52.52490722520265,826.0,1372.0,True,True,True,"3500, 7000, corpus"
同,tóng,tong,T,like; same; similar; together; alike; with,People & Pronouns,Top 300,HSK1 Core,134.0,2614683.0,1377.364899600366,52.66264371516268,472.0,663.0,True,True,True,"3500, 7000, corpus"
最,zuì,zui,Z,"(before an adjective or verb) to the highest degree; (the) most ...; -est; (after 之[zhi1]) best or most extreme example (e.g. 世界之最[shi4 jie4 zhi1 zui4] ""the greatest in the world"")",Question & Function,Top 300,HSK1 Core,135.0,2582957.0,1360.6522507612062,52.798708940238804,1485.0,2449.0,True,True,True,"3500, 7000, corpus"
本,běn,ben,B,"(bound form) root; stem; (bound form) origin; source; (bound form) one's own; this; (bound form) this; the current (year etc); (bound form) original; (bound form) inherent; originally; initially; capital; principal; classifier for books, periodicals, files etc",Numbers & Measures,Top 300,HSK1 Core,136.0,2579524.0,1358.8438121472984,52.934593321453534,1498.0,2467.0,True,True,True,"3500, 7000, corpus"
向,xiàng,xiang,X,surname Xiang,Question & Function,Top 300,HSK1 Core,137.0,2570964.0,1354.3345681813648,53.07002677827167,477.0,668.0,True,True,True,"3500, 7000, corpus"
分,fēn,fen,F,to divide; to separate; to distribute; to allocate; to distinguish (good and bad); (bound form) branch of (an organization); sub- (as in 分局[fen1 ju2]); fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute (unit of time); minute (angular measurement unit); a point (in sports or games); 0.01 yuan (unit of money),Time,Top 300,HSK1 Core,138.0,2568782.0,1353.1851323947214,53.205345291511144,302.0,433.0,True,True,True,"3500, 7000, corpus"
十,shí,shi,S,ten; 10,Numbers & Measures,Top 300,HSK1 Core,139.0,2567177.0,1352.3396491511091,53.34057925642625,384.0,554.0,True,True,True,"3500, 7000, corpus"
学,xué,xue,X,to learn; to study; to imitate; science; -ology,Actions,Top 300,HSK1 Core,140.0,2566533.0,1352.0004022919898,53.47577929665545,806.0,1343.0,True,True,True,"3500, 7000, corpus"
高,gāo,gao,G,surname Gao,General Reference,Top 300,HSK1 Core,141.0,2565932.0,1351.6838070088675,53.61094767735634,3444.0,6727.0,True,True,True,"3500, 7000, corpus"
第,dì,di,D,"(prefix indicating ordinal number, as in 第六[di4 liu4] ""sixth""); (literary) grades in which successful candidates in the imperial examinations were placed; (old) residence of a high official; (literary) but; however; (literary) only; just",Numbers & Measures,Top 300,HSK1 Core,142.0,2558818.0,1347.9362881334407,53.745741306169684,2315.0,4185.0,True,True,True,"3500, 7000, corpus"
感,gǎn,gan,G,to feel; to move; to touch; to affect; feeling; emotion; (suffix) sense of ~,Actions,Top 300,HSK1 Core,143.0,2529138.0,1332.3014328870731,53.87897144945839,1137.0,1908.0,True,True,True,"3500, 7000, corpus"
怎,zěn,zen,Z,how,General Reference,Top 300,HSK1 Core,144.0,2520317.0,1327.6546991226455,54.011736919370655,1068.0,1787.0,True,True,True,"3500, 7000, corpus"
神,shén,shen,S,God,Places & Movement,Top 300,HSK1 Core,145.0,2509843.0,1322.1371966344225,54.143950639034095,2226.0,4037.0,True,True,True,"3500, 7000, corpus"
听,tīng,ting,T,smile (archaic),Actions,Top 300,HSK1 Core,146.0,2449553.0,1290.3775799631449,54.27298839703041,491.0,684.0,True,True,True,"3500, 7000, corpus"
边,biān,bian,B,side; edge; margin; border; boundary; CL:個|个[ge4]; simultaneously,General Reference,Top 300,HSK1 Core,147.0,2448615.0,1289.883459537906,54.4019767429842,3094.0,5866.0,True,True,True,"3500, 7000, corpus"
作,zuò,zuo,Z,(bound form) worker; (bound form) workshop; (slang) troublesome; high-maintenance (person),Business & Work,Top 300,HSK1 Core,148.0,2437693.0,1284.1299592346436,54.530389738907665,150.0,192.0,True,True,True,"3500, 7000, corpus"
其,qí,qi,Q,his; her; its; their; that; such; it (refers to sth preceding it),Actions,Top 300,HSK1 Core,149.0,2417047.0,1273.2540420710143,54.657715143114764,247.0,367.0,True,True,True,"3500, 7000, corpus"
吧,ba,ba,B,"bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc); (onom.) bang; abbr. for 貼吧|贴吧[tie1 ba1]",Question & Function,Top 300,HSK1 Core,150.0,2403165.0,1265.9412704898123,54.784309270163746,487.0,680.0,True,True,True,"3500, 7000, corpus"
却,què,que,Q,but; yet; however; while; to go back; to decline; to retreat; nevertheless; even though,Places & Movement,Top 300,HSK2 Expansion,151.0,2377929.0,1252.6474292837024,54.90957401309212,409.0,586.0,True,True,True,"3500, 7000, corpus"
口,kǒu,kou,K,"mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc); classifier for bites or mouthfuls",People & Pronouns,Top 300,HSK2 Expansion,152.0,2375024.0,1251.1171309518056,55.0346857261873,445.0,632.0,True,True,True,"3500, 7000, corpus"
觉,jué,jue,J,a nap; a sleep; CL:場|场[chang2],General Reference,Top 300,HSK2 Expansion,153.0,2372600.0,1249.8402142025739,55.15966974760756,2865.0,5414.0,True,True,True,"3500, 7000, corpus"
啊,a,a,A,interjection of surprise; Ah!; Oh!,Question & Function,Top 300,HSK2 Expansion,154.0,2366043.0,1246.3861122534354,55.2843083588329,569.0,829.0,True,True,True,"3500, 7000, corpus"
因,yīn,yin,Y,cause; reason; because,People & Pronouns,Top 300,HSK2 Expansion,155.0,2334623.0,1229.8346583504408,55.407291824667944,616.0,972.0,True,True,True,"3500, 7000, corpus"
白,bái,bai,B,surname Bai,General Reference,Top 300,HSK2 Expansion,156.0,2322211.0,1223.296254599837,55.52962145012793,2111.0,3787.0,True,True,True,"3500, 7000, corpus"
次,cì,ci,C,"next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time",Time,Top 300,HSK2 Expansion,157.0,2307457.0,1215.5241301286474,55.65117386314079,1652.0,2765.0,True,True,True,"3500, 7000, corpus"
军,jūn,jun,J,(bound form) army; military,General Reference,Top 300,HSK2 Expansion,158.0,2275004.0,1198.4285116208853,55.77101671430288,262.0,385.0,True,True,True,"3500, 7000, corpus"
做,zuò,zuo,Z,"to make; to produce; to write; to compose; to do; to engage in; to hold (a party etc); (of a person) to be (an intermediary, a good student etc); to become (husband and wife, friends etc); (of a thing) to serve as; to be used for; to assume (an air or manner)",Actions,Top 300,HSK2 Expansion,159.0,2254997.0,1187.8892074121898,55.8898056350441,202.0,298.0,True,True,True,"3500, 7000, corpus"
外,wài,wai,W,outside; in addition; foreign; external,Places & Movement,Top 300,HSK2 Expansion,160.0,2234449.0,1177.0649147706006,56.007512126521156,708.0,1155.0,True,True,True,"3500, 7000, corpus"
门,mén,men,M,surname Men,General Reference,Top 300,HSK2 Expansion,161.0,2233462.0,1176.5449820843417,56.12516662472959,3264.0,6336.0,True,True,True,"3500, 7000, corpus"
光,guāng,guang,G,light; ray (CL:道[dao4]); bright; shiny; only; merely; used up; finished; to leave (a part of the body) uncovered,Actions,Top 300,HSK2 Expansion,162.0,2185701.0,1151.3854025216135,56.24030516498175,229.0,346.0,True,True,True,"3500, 7000, corpus"
风,fēng,feng,F,"wind; news; style; custom; manner; CL:陣|阵[zhen4],絲|丝[si1]",General Reference,Top 300,HSK2 Expansion,163.0,2175031.0,1145.7646509893107,56.354881630080676,3393.0,6588.0,True,True,True,"3500, 7000, corpus"
主,zhǔ,zhu,Z,owner; master; host; individual or party concerned; God; Lord; main; to indicate or signify; trump card (in card games),Places & Movement,Top 300,HSK2 Expansion,164.0,2156315.0,1135.9054208413652,56.468472172164816,34.0,37.0,True,True,True,"3500, 7000, corpus"
住,zhù,zhu,Z,to live; to reside; to stay; to stop; to cease; (result complement indicating firmness or a stable achieved state),Actions,Top 300,HSK2 Expansion,165.0,2114870.0,1114.0729890460243,56.57987947106942,144.0,182.0,True,True,True,"3500, 7000, corpus"
果,guǒ,guo,G,fruit; result; resolute; indeed; if really,General Reference,Top 300,HSK2 Expansion,166.0,2105431.0,1109.100704724243,56.69078954154184,1534.0,2518.0,True,True,True,"3500, 7000, corpus"
与,yǔ,yu,Y,"(formal) and; together with (linking parallel nouns, verbs, or phrases); (formal) with; from (marking the other participant in an interaction, comparison, or contrast, e.g. 與他握手|与他握手[yu3 ta1 wo4 shou3] ""shake hands with him"", 與去年不同|与去年不同[yu3 qu4 nian2 bu4 tong2] ""different from last year""); (literary) to give; to grant; to bestow",People & Pronouns,Top 300,HSK2 Expansion,167.0,2104552.0,1108.6376643683955,56.80165330797868,10.0,10.0,True,True,True,"3500, 7000, corpus"
全,quán,quan,Q,surname Quan,General Reference,Top 300,HSK2 Expansion,168.0,2085206.0,1098.4465622930509,56.91149796420799,238.0,357.0,True,True,True,"3500, 7000, corpus"
二,èr,er,E,two; 2; (Beijing dialect) stupid,Numbers & Measures,Top 300,HSK2 Expansion,169.0,2073729.0,1092.4006986251748,57.020738034070504,67.0,73.0,True,True,True,"3500, 7000, corpus"
候,hòu,hou,H,to wait; to inquire after; to watch; season; climate; (old) period of five days,People & Pronouns,Top 300,HSK2 Expansion,170.0,2064968.0,1087.7855717109755,57.129516591241604,191.0,274.0,True,True,True,"3500, 7000, corpus"
公,gōng,gong,G,"public; collectively owned; common; international (e.g. high seas, metric system, calendar); make public; fair; just; Duke, highest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; honorable (gentlemen); father-in-law; male (animal)",Business & Work,Top 300,HSK2 Expansion,171.0,2055138.0,1082.607316081872,57.237777322849794,240.0,359.0,True,True,True,"3500, 7000, corpus"
相,xiāng,xiang,X,surname Xiang,General Reference,Top 300,HSK2 Expansion,172.0,2037658.0,1073.3991870486338,57.34511724155466,2138.0,3830.0,True,True,True,"3500, 7000, corpus"
吗,ma,ma,M,(coll.) what?,Question & Function,Top 300,HSK2 Expansion,173.0,2028487.0,1068.5680799912066,57.45197404955378,480.0,671.0,True,True,True,"3500, 7000, corpus"
等,děng,deng,D,to wait for; to await; by the time; when; till; and so on; etc.; et al.; (bound form) class; rank; grade; (bound form) equal to; same as; (used to end an enumeration); (literary) (plural suffix attached to a personal pronoun or noun),People & Pronouns,Top 300,HSK2 Expansion,174.0,2002114.0,1054.6752889732666,57.55744157845111,2317.0,4195.0,True,True,True,"3500, 7000, corpus"
别,bié,bie,B,surname Bie,General Reference,Top 300,HSK2 Expansion,175.0,2000757.0,1053.9604473772652,57.662837623188835,317.0,452.0,True,True,True,"3500, 7000, corpus"
色,sè,se,S,color; CL:種|种[zhong3]; look; appearance; sex,General Reference,Top 300,HSK2 Expansion,176.0,1988512.0,1047.5100160264642,57.76758862479148,2618.0,4799.0,True,True,True,"3500, 7000, corpus"
死,sǐ,si,S,to die; impassable; uncrossable; inflexible; rigid; extremely; damned,Actions,Top 300,HSK2 Expansion,177.0,1979349.0,1042.683123215734,57.87185693711305,1670.0,2788.0,True,True,True,"3500, 7000, corpus"
张,zhāng,zhang,Z,surname Zhang,General Reference,Top 300,HSK2 Expansion,178.0,1977218.0,1041.5605532517848,57.97601299243823,1012.0,1688.0,True,True,True,"3500, 7000, corpus"
部,bù,bu,B,"ministry; department; section; part; division; troops; board; classifier for works of literature, films, machines etc",Business & Work,Top 300,HSK2 Expansion,179.0,1972176.0,1038.9045242709162,58.07990344486532,3168.0,6015.0,True,True,True,"3500, 7000, corpus"
太,tài,tai,T,highest; greatest; too (much); very; extremely,Actions,Top 300,HSK2 Expansion,180.0,1962845.0,1033.989132279546,58.18330235809328,714.0,1164.0,True,True,True,"3500, 7000, corpus"
日,rì,ri,R,"abbr. for 日本[Ri4 ben3], Japan",Time,Top 300,HSK2 Expansion,181.0,1944999.0,1024.5882014599142,58.28576117823927,1425.0,2347.0,True,True,True,"3500, 7000, corpus"
少,shǎo,shao,S,few; less; to lack; to be missing; to stop (doing sth); seldom,Actions,Top 300,HSK2 Expansion,182.0,1940099.0,1022.0069753579195,58.38796187577506,869.0,1423.0,True,True,True,"3500, 7000, corpus"
战,zhàn,zhan,Z,to fight; fight; war; battle,Actions,Top 300,HSK2 Expansion,183.0,1924225.0,1013.6448563491309,58.48932636140997,1166.0,1964.0,True,True,True,"3500, 7000, corpus"
理,lǐ,li,L,texture; grain (of wood); inner essence; intrinsic order; reason; logic; truth; science; natural science (esp. physics); to manage; to pay attention to; to run (affairs); to handle; to put in order; to tidy up,Business & Work,Top 300,HSK2 Expansion,184.0,1903915.0,1002.9459375467814,58.58962095516465,2025.0,3560.0,True,True,True,"3500, 7000, corpus"
直,zhí,zhi,Z,"surname Zhi; Zhi (c. 2000 BC), fifth of the legendary Flame Emperors 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God",Places & Movement,Top 300,HSK2 Expansion,185.0,1902380.0,1002.1373289617688,58.68983468806083,2137.0,3829.0,True,True,True,"3500, 7000, corpus"
重,zhòng,zhong,Z,to repeat; repetition; again; re-; classifier: layer,Actions,Top 300,HSK2 Expansion,186.0,1900814.0,1001.3123901708049,58.78996592707791,3193.0,6097.0,True,True,True,"3500, 7000, corpus"
王,wáng,wang,W,surname Wang,General Reference,Top 300,HSK2 Expansion,187.0,1891711.0,996.5171042103033,58.88961763749894,2009.0,3515.0,True,True,True,"3500, 7000, corpus"
像,xiàng,xiang,X,to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping (math.),Actions,Top 300,HSK2 Expansion,188.0,1883479.0,992.1806443589521,58.98883570193483,215.0,321.0,True,True,True,"3500, 7000, corpus"
脸,liǎn,lian,L,"face; CL:張|张[zhang1],個|个[ge4]",General Reference,Top 300,HSK2 Expansion,189.0,1845354.0,972.097124942922,59.08604541442912,2563.0,4691.0,True,True,True,"3500, 7000, corpus"
比,bǐ,bi,B,Belgium; Belgian; abbr. for 比利時|比利时[Bi3 li4 shi2],General Reference,Top 300,HSK2 Expansion,190.0,1844194.0,971.4860591718375,59.183194020346306,1686.0,2822.0,True,True,True,"3500, 7000, corpus"
快,kuài,kuai,K,rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plainspoken; gratified; pleased; pleasant,Actions,Top 300,HSK2 Expansion,191.0,1840001.0,969.277267121702,59.28012174705847,1061.0,1768.0,True,True,True,"3500, 7000, corpus"
何,hé,he,H,surname He,General Reference,Top 300,HSK2 Expansion,192.0,1822108.0,959.8515776027243,59.37610690481875,147.0,186.0,True,True,True,"3500, 7000, corpus"
水,shuǐ,shui,S,surname Shui,General Reference,Top 300,HSK2 Expansion,193.0,1817943.0,957.6575354160287,59.471872658360354,1703.0,2864.0,True,True,True,"3500, 7000, corpus"
名,míng,ming,M,name; noun (part of speech); place (e.g. among winners); famous; classifier for people,People & Pronouns,Top 300,HSK2 Expansion,194.0,1804559.0,950.6071006917233,59.566933368429524,473.0,664.0,True,True,True,"3500, 7000, corpus"
体,tǐ,ti,T,used in 體己|体己[ti1 ji5]; Taiwan pr. [ti3],General Reference,Top 300,HSK2 Expansion,195.0,1799811.0,948.1059452769742,59.661743962957225,146.0,185.0,True,True,True,"3500, 7000, corpus"
呢,ne,ne,N,"(sentence-final particle) used in questions to link back to prior discourse or context (""what about...?"", ""and...?""); (sentence-final particle) indicating that a state or situation still holds; (discourse particle) used to mark a slight pause or emphasis in speech",Question & Function,Top 300,HSK2 Expansion,196.0,1793494.0,944.7782707287496,59.7562217900301,511.0,713.0,True,True,True,"3500, 7000, corpus"
东,dōng,dong,D,surname Dong,Places & Movement,Top 300,HSK2 Expansion,197.0,1783570.0,939.5504977009546,59.85017683980019,20.0,21.0,True,True,True,"3500, 7000, corpus"
叫,jiào,jiao,J,to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood),Actions,Top 300,HSK2 Expansion,198.0,1780163.0,937.7557553888125,59.94395241533907,451.0,639.0,True,True,True,"3500, 7000, corpus"
西,xī,xi,X,the West; abbr. for Spain 西班牙[Xi1 ban1 ya2]; Spanish,Places & Movement,Top 300,HSK2 Expansion,199.0,1778761.0,937.0172086551398,60.03765413620458,2856.0,5403.0,True,True,True,"3500, 7000, corpus"
应,yīng,ying,Y,surname Ying; Taiwan pr. [Ying4],General Reference,Top 300,HSK2 Expansion,200.0,1777404.0,936.3023670591384,60.13128437291049,982.0,1634.0,True,True,True,"3500, 7000, corpus"
便,biàn,bian,B,plain; informal; suitable; convenient; opportune; to urinate or defecate; equivalent to 就[jiu4]: then; in that case; even if; soon afterwards,Actions,Top 300,HSK2 Expansion,201.0,1735257.0,914.1001351161241,60.222694386422106,171.0,235.0,True,True,True,"3500, 7000, corpus"
放,fàng,fang,F,to put; to place; to release; to free; to let go; to let out; to set off (fireworks),Business & Work,Top 300,HSK2 Expansion,202.0,1730745.0,911.7232999789404,60.31386671642,1384.0,2286.0,True,True,True,"3500, 7000, corpus"
马,mǎ,ma,M,surname Ma; abbr. for Malaysia 馬來西亞|马来西亚[Ma3 lai2 xi1 ya4],General Reference,Top 300,HSK2 Expansion,203.0,1729443.0,911.0374313289817,60.4049704595529,3419.0,6658.0,True,True,True,"3500, 7000, corpus"
难,nán,nan,N,difficult (to...); problem; difficulty; difficult; not good,Places & Movement,Top 300,HSK2 Expansion,204.0,1727440.0,909.9822893121868,60.49596868848412,3321.0,6447.0,True,True,True,"3500, 7000, corpus"
轻,qīng,qing,Q,light; easy; gentle; soft; reckless; unimportant; frivolous; small in number; unstressed; neutral; to disparage,Actions,Top 300,HSK2 Expansion,205.0,1720467.0,906.3090465347972,60.5865995931376,3070.0,5824.0,True,True,True,"3500, 7000, corpus"
更,gèng,geng,G,to change or replace; to experience; one of the five two-hour periods into which the night was formerly divided; watch (e.g. of a sentry or guard),Question & Function,Top 300,HSK2 Expansion,206.0,1703552.0,897.398548674544,60.67633944800505,1480.0,2443.0,True,True,True,"3500, 7000, corpus"
美,měi,mei,M,(bound form) the Americas (abbr. for 美洲[Mei3 zhou1]); (bound form) USA (abbr. for 美國|美国[Mei3 guo2]),General Reference,Top 300,HSK2 Expansion,207.0,1692264.0,891.4522465848878,60.76548467266354,2467.0,4505.0,True,True,True,"3500, 7000, corpus"
位,wèi,wei,W,position; location; place; seat; classifier for people (honorific); classifier for binary bits (e.g. 十六位 16-bit or 2 bytes); (physics) potential,People & Pronouns,Top 300,HSK2 Expansion,208.0,1682896.0,886.5173637025437,60.85413640903379,142.0,180.0,True,True,True,"3500, 7000, corpus"
关,guān,guan,G,surname Guan,Actions,Top 300,HSK2 Expansion,209.0,1675433.0,882.5859983149545,60.94239500886529,244.0,364.0,True,True,True,"3500, 7000, corpus"
机,jī,ji,J,surname Ji,General Reference,Top 300,HSK2 Expansion,210.0,1672100.0,880.830237784761,61.030478032643764,1503.0,2473.0,True,True,True,"3500, 7000, corpus"
接,jiē,jie,J,to receive; to answer (the phone); to meet or welcome sb; to connect; to catch; to join; to extend; to take one's turn on duty; to take over for sb,Places & Movement,Top 300,HSK2 Expansion,211.0,1671342.0,880.4309379102075,61.118521126434786,1313.0,2161.0,True,True,True,"3500, 7000, corpus"
先,xiān,xian,X,beforehand; first; earlier; at first; originally; for the time being; for now; (prefix) my late (in referring to deceased relatives older than oneself),People & Pronouns,Top 300,HSK2 Expansion,212.0,1662684.0,875.8700694222341,61.20610813337701,228.0,345.0,True,True,True,"3500, 7000, corpus"
文,wén,wen,W,surname Wen,General Reference,Top 300,HSK2 Expansion,213.0,1637873.0,862.8001100719096,61.2923881443842,1402.0,2309.0,True,True,True,"3500, 7000, corpus"
处,chù,chu,C,to reside; to live; to dwell; to be in; to be situated at; to stay; to get along with; to be in a position of; to deal with; to discipline; to punish,Actions,Top 300,HSK2 Expansion,214.0,1626691.0,856.9096467509902,61.3780791090593,703.0,1149.0,True,True,True,"3500, 7000, corpus"
并,bìng,bing,B,and; furthermore; also; together with; (not) at all; simultaneously; to combine; to join; to merge,Question & Function,Top 300,HSK2 Expansion,215.0,1624589.0,855.8023534313182,61.46365934440243,969.0,1617.0,True,True,True,"3500, 7000, corpus"
